student_id,class,subtopic_id,quiz_id,question_id,question_level,question_level_code,marked,total_marks,weighted_mark,score,student_category,diagnostic_test_action,subtopic_quiz_action
17,8.0,574,b16d8de5-9c9a-43b8-b92a-e6c27bbbcde5,5773,remember,1,0,1,0,0.0,low,recommend failed subtopic materials,recommend prerequisite subtopic materials
17,8.0,574,d82aeb1d-7b23-42c9-9ed3-4942de399982,5773,remember,1,0,1,0,0.0,low,recommend failed subtopic materials,recommend prerequisite subtopic materials
17,8.0,577,71757082-b5b1-4f4e-8123-e8413a466740,5818,evaluate,5,0,2,0,0.0,low,recommend failed subtopic materials,recommend analyze questions
17,8.0,577,71757082-b5b1-4f4e-8123-e8413a466740,5819,evaluate,5,0,2,0,0.0,low,recommend failed subtopic materials,recommend analyze questions
17,8.0,577,9cb09f56-7d01-4bed-8ceb-d875d3ccf27f,5818,evaluate,5,0,1,0,0.0,low,recommend failed subtopic materials,recommend analyze questions
17,8.0,577,aded26aa-3225-457c-9ea2-7d8f186cb7ed,5818,evaluate,5,0,6,0,0.0,low,recommend failed subtopic materials,recommend analyze questions
17,8.0,577,aded26aa-3225-457c-9ea2-7d8f186cb7ed,5819,evaluate,5,0,6,0,0.0,low,recommend failed subtopic materials,recommend analyze questions
17,8.0,577,aded26aa-3225-457c-9ea2-7d8f186cb7ed,5820,evaluate,5,0,6,0,0.0,low,recommend failed subtopic materials,recommend analyze questions
17,8.0,577,aded26aa-3225-457c-9ea2-7d8f186cb7ed,5821,evaluate,5,0,6,0,0.0,low,recommend failed subtopic materials,recommend analyze questions
17,8.0,577,aded26aa-3225-457c-9ea2-7d8f186cb7ed,5822,evaluate,5,0,6,0,0.0,low,recommend failed subtopic materials,recommend analyze questions
17,8.0,577,aded26aa-3225-457c-9ea2-7d8f186cb7ed,5823,evaluate,5,0,6,0,0.0,low,recommend failed subtopic materials,recommend analyze questions
17,8.0,578,24be5aae-4b5f-4279-8ec8-ca0c689778d2,5824,evaluate,5,1,11,5,0.18588695201244565,low,recommend failed subtopic materials,recommend create questions
17,8.0,578,24be5aae-4b5f-4279-8ec8-ca0c689778d2,5825,evaluate,5,0,11,0,0.18588695201244565,low,recommend failed subtopic materials,recommend analyze questions
17,8.0,578,24be5aae-4b5f-4279-8ec8-ca0c689778d2,5826,evaluate,5,0,11,0,0.18588695201244565,low,recommend failed subtopic materials,recommend analyze questions
17,8.0,578,24be5aae-4b5f-4279-8ec8-ca0c689778d2,5827,evaluate,5,1,11,5,0.18588695201244565,low,recommend failed subtopic materials,recommend create questions
17,8.0,578,24be5aae-4b5f-4279-8ec8-ca0c689778d2,5828,evaluate,5,0,11,0,0.18588695201244565,low,recommend failed subtopic materials,recommend analyze questions
17,8.0,578,24be5aae-4b5f-4279-8ec8-ca0c689778d2,5829,evaluate,5,0,11,0,0.18588695201244565,low,recommend failed subtopic materials,recommend analyze questions
17,8.0,578,24be5aae-4b5f-4279-8ec8-ca0c689778d2,5830,evaluate,5,1,11,5,0.18588695201244565,low,recommend failed subtopic materials,recommend create questions
17,8.0,578,24be5aae-4b5f-4279-8ec8-ca0c689778d2,5831,evaluate,5,0,11,0,0.18588695201244565,low,recommend failed subtopic materials,recommend analyze questions
17,8.0,578,24be5aae-4b5f-4279-8ec8-ca0c689778d2,5832,evaluate,5,0,11,0,0.18588695201244565,low,recommend failed subtopic materials,recommend analyze questions
17,8.0,578,24be5aae-4b5f-4279-8ec8-ca0c689778d2,5833,evaluate,5,0,11,0,0.18588695201244565,low,recommend failed subtopic materials,recommend analyze questions
